description,Year,stat
Cost,2023,39
"No device to 
access",2023,13
"Use a mobile 
data",2023,27
"Have access 
elsewhere",2023,15
"Available service 
is insufficient",2023,2
"Security or privacy 
concerns",2023,6
"No need or 
interest",2023,8
"No service 
available",2023,2
"Limitation of use 
due to a disability",2023,2
Other,2023,2
Don't know,2023,21
Cost,2020,49
"No device to 
access",2020,25
"Use a mobile 
data",2020,22
"Have access 
elsewhere",2020,16
"Available service 
is insufficient",2020,3
"Security or privacy 
concerns",2020,0
"No need or 
interest",2020,0
"No service 
available",2020,0
"Limitation of use 
due to a disability",2020,0
Other,2020,5
Don't know,2020,16
